response,paper_symbol,fitted_coefficient,paper_coefficient,delta,absolute_delta,rounding_tolerance,within_rounding_tolerance,note
etch_rate,b0,0.4344159090909091,0.434,0.00041590909090910566,0.00041590909090910566,0.0015,True,
etch_rate,b1,0.05270833333333325,0.052,0.0007083333333332553,0.0007083333333332553,0.0015,True,
etch_rate,b2,0.010208333333333248,0.01,0.00020833333333324794,0.00020833333333324794,0.0015,True,
etch_rate,b3,-0.00437499999999995,0.004,-0.00837499999999995,0.00837499999999995,0.0015,False,전사 적합과 논문 부호 불일치
etch_rate,b4,-0.03395833333333328,-0.043,0.009041666666666719,0.009041666666666719,0.0015,False,
etch_rate,b5,0.14672499999999977,0.147,-0.0002750000000002195,0.0002750000000002195,0.0015,True,
etch_rate,b11,-0.014415909090909076,-0.014,-0.00041590909090907617,0.00041590909090907617,0.0015,True,
etch_rate,b22,-0.01691590909090916,-0.017,8.409090909084274e-05,8.409090909084274e-05,0.0015,True,
etch_rate,b33,-0.015665909090909053,-0.016,0.00033409090909094705,0.00033409090909094705,0.0015,True,
etch_rate,b44,-0.026915909090909053,-0.027,8.409090909094682e-05,8.409090909094682e-05,0.0015,True,
etch_rate,b55,-0.029815909090909115,-0.03,0.00018409090909088377,0.00018409090909088377,0.0015,True,
etch_rate,b12,0.0028125000000000008,0.003,-0.0001874999999999993,0.0001874999999999993,0.0015,True,
etch_rate,b13,-0.0078124999999999644,-0.008,0.00018750000000003573,0.00018750000000003573,0.0015,True,
etch_rate,b14,-0.015937499999999983,-0.016,6.25000000000174e-05,6.25000000000174e-05,0.0015,True,
etch_rate,b15,0.03468749999999997,0.035,-0.00031250000000003497,0.00031250000000003497,0.0015,True,
etch_rate,b23,0.028437500000000025,0.028,0.0004375000000000247,0.0004375000000000247,0.0015,True,
etch_rate,b24,-0.007187499999999975,-0.007,-0.000187499999999975,0.000187499999999975,0.0015,True,
etch_rate,b25,0.01843749999999995,0.018,0.0004374999999999518,0.0004374999999999518,0.0015,True,
etch_rate,b34,0.02218750000000005,0.022,0.0001875000000000522,0.0001875000000000522,0.0015,True,
etch_rate,b35,-0.023437499999999983,-0.023,-0.00043749999999998304,0.00043749999999998304,0.0015,True,
etch_rate,b45,0.027187499999999906,0.027,0.0001874999999999065,0.0001874999999999065,0.0015,True,
selectivity,b0,9.338636363636367,9.34,-0.001363636363633347,0.001363636363633347,0.015,True,
selectivity,b1,2.341666666666668,2.34,0.0016666666666682595,0.0016666666666682595,0.015,True,
selectivity,b2,-0.3583333333333346,-0.36,0.0016666666666653729,0.0016666666666653729,0.015,True,
selectivity,b3,0.14166666666666547,-0.14,0.2816666666666655,0.2816666666666655,0.015,False,전사 적합과 논문 부호 불일치
selectivity,b4,2.9000000000000004,2.9,4.440892098500626e-16,4.440892098500626e-16,0.015,True,
selectivity,b5,-1.7166666666666643,-1.72,0.0033333333333356308,0.0033333333333356308,0.015,True,
selectivity,b11,-0.05113636363636633,-0.05,-0.001136363636366329,0.001136363636366329,0.015,True,
selectivity,b22,-0.01363636363636469,-0.01,-0.00363636363636469,0.00363636363636469,0.015,True,
selectivity,b33,-0.0636363636363643,-0.06,-0.003636363636364298,0.003636363636364298,0.015,True,
selectivity,b44,1.048863636363635,1.05,-0.0011363636363650453,0.0011363636363650453,0.015,True,
selectivity,b55,-0.4386363636363636,-0.44,0.0013636363636364002,0.0013636363636364002,0.015,True,
selectivity,b12,-0.8999999999999994,-0.9,6.661338147750939e-16,6.661338147750939e-16,0.015,True,
selectivity,b13,0.5999999999999998,0.6,-2.220446049250313e-16,2.220446049250313e-16,0.015,True,
selectivity,b14,0.6500000000000004,0.65,3.3306690738754696e-16,3.3306690738754696e-16,0.015,True,
selectivity,b15,-1.1125000000000012,-1.11,-0.002500000000001057,0.002500000000001057,0.015,True,
selectivity,b23,0.16250000000000084,0.16,0.002500000000000835,0.002500000000000835,0.015,True,
selectivity,b24,-1.3375000000000001,-1.34,0.0024999999999999467,0.0024999999999999467,0.015,True,
